-550,-214,101
-2149,300,580
-4495,466,1672
-7019,3434,3016
-1243,86,2580
495,-661,729
1841,-1584,-815
2878,-2067,-850
3469,-2359,-549
4046,-2196,-528
4204,-1679,-546
3277,-353,-1252
870,44,-1922
-2261,1299,200
-2818,313,-50
-200,120,48
53,49,46
59,16,30
-14,-25,7
-56,-1,14
-124,21,38
-121,36,54
-144,61,61
-128,59,57
-86,23,60
-90,-16,63
-4,-60,25
-80,-114,-42
-425,-176,-94
-1572,387,39
-5329,779,976
-7957,1807,2643
-4943,1759,2709
1437,179,1003
2385,-775,-956
3322,-1284,-1609
4088,-1315,-1759
4433,-1296,-1538
4678,-1248,-835
4136,-1815,-743
2408,-1685,-684
-645,625,-979
-3240,1347,-34
-1200,724,61
-105,66,41
51,78,66
-13,28,34
-123,27,32
-118,15,38
-76,-18,31
-64,0,39
-70,3,37
-58,15,38
-83,54,54
-118,46,80
-74,-76,34
-247,-285,-25
-1763,229,322
-5255,464,1213
-8557,1625,3067
-2494,251,3618
986,-397,1650
2497,-1373,-1108
3589,-1911,-1362
4161,-2046,-1082
4803,-1764,-1136
5001,-1327,-1324
3784,-231,-1768
607,-400,-2206
-2307,1153,-152
-3567,22,105
-391,202,69
-27,109,62
-46,120,67
-98,47,40
-66,23,48
-40,14,49
-48,26,52
-62,31,51
-49,-6,29
-46,-24,16
-63,10,40
-104,14,75
-51,-38,34
-412,-205,-29
-1352,99,113
-4739,491,1342
-7541,2037,3348
-5798,2570,3395
689,-195,1201
1612,-1310,-1601
2585,-1724,-2029
3485,-1701,-1431
4082,-1553,-567
4674,-1423,-418
4660,-1460,-496
3082,-161,-1011
625,15,-1484
-3043,1262,577
-1961,649,112
-159,199,86
66,94,63
-10,95,57
-106,22,40
-120,9,45
-125,24,46
-148,70,66
-128,33,70
-115,-27,50
-13,-58,18
29,-84,-2
0,-112,-44
-12,-133,-58
-167,-113,-72
-654,97,-67
-1954,438,163
-4835,363,1352
-6567,86,3035
-5964,1980,3534
1052,326,1388
1784,-210,-1245
2789,-739,-2501
3872,-834,-2245
4274,-619,-1527
4190,-669,-363
4231,-1136,-273
3501,-1168,-458
1941,-408,-308
-1577,1477,-692
-2774,-29,-119
-1169,136,-23
-236,183,83
53,156,99
-5,53,39
-1,1,27
22,-31,19
31,-46,12
30,-18,28
17,-44,34
-23,-48,37
-77,-10,54
-141,37,65
-223,66,78
-253,-61,78
-267,-232,-25
-1037,-334,12
-4194,127,856
-6822,151,1903
-6115,1636,3177
834,-125,1977
1810,-1562,-1114
2509,-1953,-2971
3332,-1367,-2757
4027,-524,-2003
4235,177,-1214
4249,181,-439
2531,-195,-177
-1453,1016,673
-2922,449,421
-296,397,92
-70,140,74
-82,56,60
-94,13,57
-55,-11,47
-18,-22,42
4,-20,44
4,-17,39
3,-28,26
5,-19,24
-11,-5,25
-14,20,41
-44,38,62
-69,0,62
-197,-147,15
-667,-258,111
-2696,279,807
-4936,-63,2110
-6941,2983,3569
-2900,676,2607
-253,342,348
1431,-467,-653
2351,-975,-439
3460,-1171,-584
3922,-1792,-116
4073,-1912,-592
3867,-1931,-1798
3402,-1380,-2255
2142,-583,-2840
-1569,771,-3089
-2460,-452,-230
-1278,-42,-41
-48,78,18
79,130,59
6,76,40
-73,65,39
-119,77,42
-88,22,36
-65,18,49
-79,24,55
-62,16,50
-31,19,46
-34,34,45
-85,54,51
-91,49,75
-121,15,88
-270,-161,7
-1028,26,141
-3354,445,888
-5315,128,2161
-7795,2430,3371
-659,-541,2892
208,-1007,1106
1364,-1455,-1041
2609,-1822,-1619
3369,-1916,-1029
4156,-1745,-301
4466,-1514,-478
4203,-1112,-646
2073,-157,-1917
-180,-279,-2161
-2302,757,-104
-1890,-73,9
-277,81,8
58,110,69
-170,129,68
-198,50,51
-93,8,47
-59,2,40
-39,3,36
-49,3,40
-50,6,42
-20,5,38
-16,1,33
-17,-2,33
-25,-8,41
-34,-7,48
-28,-15,50
-38,-70,-3
-368,-233,-13
-1360,7,268
-3400,-146,819
-5440,-558,2011
-6237,2213,2917
-304,188,2496
1662,258,53
2084,-348,-1704
3004,-687,-1871
3155,-586,-1260
3177,-477,-876
3086,-697,-996
2700,-617,-1548
2209,-283,-1526
1428,-49,-1515
521,50,-1901
93,80,-1736
21,-30,-1361
-611,-116,-607
-1923,-335,-131
-1045,-399,16
-185,-54,-27
-45,85,81
-200,129,107
-194,77,75
-101,7,58
-59,0,49
-11,-28,35
15,-38,34
17,-29,35
13,-7,39
9,8,41
0,18,45
